dataset,maximum_step,n_pathway_nodes,n_pathway_edges,run_status,run_error,build_seconds,n_connection_layers,connection_layer_sizes,n_sparse_connections,n_parameters,partition_shapes
covid,1,913,841,ok,,0.09870105504523963,3,913|40|10,2441,4435150,"{""p2"": [913, 40], ""p3"": [40, 10]}"
covid,2,913,841,ok,,0.09854588098824024,4,913|99|40|10,2559,4666458,"{""p2"": [913, 99], ""p3"": [99, 40], ""p4"": [40, 10]}"
covid,3,913,841,ok,,0.11029206309467554,5,913|202|99|40|10,2661,5122606,"{""p2"": [913, 202], ""p3"": [202, 99], ""p4"": [99, 40], ""p5"": [40, 10]}"
covid,4,913,841,ok,,0.12720604101195931,6,913|288|202|99|40|10,2729,5669382,"{""p2"": [913, 288], ""p3"": [288, 202], ""p4"": [202, 99], ""p5"": [99, 40], ""p6"": [40, 10]}"
covid,5,913,841,ok,,0.1474886699579656,7,913|350|288|202|99|40|10,2774,6299006,"{""p2"": [913, 350], ""p3"": [350, 288], ""p4"": [288, 202], ""p5"": [202, 99], ""p6"": [99, 40], ""p7"": [40, 10]}"
brca,1,8523,30538,ok,,0.2708154949359596,3,8523|111|28,61206,15183430,"{""p2"": [8523, 111], ""p3"": [111, 28]}"
brca,2,8523,30538,ok,,2.4068049730267376,4,8523|1720|111|28,73084,70801138,"{""p2"": [8523, 1720], ""p3"": [1720, 111], ""p4"": [111, 28]}"
brca,3,8523,30538,ok,,6.588503513019532,5,8523|5947|1720|111|28,76504,255823382,"{""p2"": [8523, 5947], ""p3"": [5947, 1720], ""p4"": [1720, 111], ""p5"": [111, 28]}"
brca,4,8523,30538,ok,,11.468626484973356,6,8523|7733|5947|1720|111|28,76948,500664298,"{""p2"": [8523, 7733], ""p3"": [7733, 5947], ""p4"": [5947, 1720], ""p5"": [1720, 111], ""p6"": [111, 28]}"
brca,5,8523,30538,ok,,16.748540517990477,7,8523|8081|7733|5947|1720|111|28,77027,762489806,"{""p2"": [8523, 8081], ""p3"": [8081, 7733], ""p4"": [7733, 5947], ""p5"": [5947, 1720], ""p6"": [1720, 111], ""p7"": [111, 28]}"
